N,T
1,0   
2,0.1 
3,0   
4,0.1 
5,0.1 
6,0.1 
7,0.1 
8,0.1 
9,0.1 
10,0.2
11,0.1
12,0.1
13,0.1
14,0.2
15,0.2
16,0.2
17,0.2
18,0.2
19,0.3
20,0.2
21,0.3
22,0.2
23,0.2
24,0.3
25,0.3
26,0.3
27,0.4
28,0.3
29,0.3
30,0.3
31,0.3
32,0.3
33,0.3
34,0.4
35,0.4
36,0.5
37,0.4
38,0.4
39,0.5
40,0.4
41,0.4
42,0.5
43,0.5
44,0.5
45,0.5
46,0.5
47,0.5
48,0.5
49,0.5
50,0.5
51,0.6
52,0.6
53,0.7
54,0.6
55,0.7
56,0.6
57,0.6
58,0.7
59,0.7
60,0.7
61,0.7
62,0.8
63,0.7
64,0.7
65,0.8
66,0.7
67,0.7
68,0.8
69,0.8
70,0.8
71,0.8
72,0.9
73,0.9
74,0.9
75,0.9
76,1
77,1
78,0.9
79,0.9
80,0.9
81,0.9
82,0.9
83,1
84,1.1
85,1
86,0.9
87,0.9
88,1
89,1
90,1.1
91,1.1
92,1.1
93,1.1
94,1.1
95,1.1
96,1.1
97,1.1
98,1
99,1.1
100,1.1
101,1.2
102,1.2
103,1.1
104,1.2
105,1.2
106,1.2
107,1.2
108,1.3
109,1.3
110,1.2
111,1.2
112,1.3
113,1.3
114,1.3
115,1.3
116,1.4
117,1.3
118,1.3
119,1.3
120,1.3
121,1.3
122,1.3
123,1.4
124,1.3
125,1.4
126,1.4
127,1.4
128,1.4
129,1.4
130,1.5
131,1.6
132,1.5
133,1.6
134,1.6
135,1.5
136,1.5
137,1.6
138,1.6
139,1.6
140,1.5
141,1.6
142,1.6
143,1.6
144,1.7
145,1.7
146,1.6
147,1.7
148,1.6
149,1.7
150,1.6
151,1.7
152,1.7
153,1.7
154,1.7
155,1.8
156,1.8
157,1.8
158,1.8
159,1.8
160,1.8
161,1.9
162,1.8
163,1.8
164,1.8
165,1.9
166,1.8
167,1.8
168,1.9
169,2
170,1.9
171,1.9
172,1.9
173,2
174,1.9
175,2
176,2
177,1.9
178,1.9
179,2
180,2
181,2
182,2.1
183,2
184,2
185,1.9
186,2.1
187,2.1
188,2.1
189,2.1
190,2.1
191,2.1
192,2.1
193,2.1
194,2.1
195,2.2
196,2.2
197,2.3
198,2.2
199,2.2
200,2.2
201,2.3
202,2.3
203,2.3
204,2.3
205,2.4
206,2.3
207,2.3
208,2.4
209,2.3
210,2.2
211,2.4
212,2.3
213,2.4
214,2.4
215,2.4
216,2.3
217,2.4
218,2.5
219,2.5
220,2.5
221,2.5
222,2.5
223,2.5
224,2.4
225,2.5
226,2.5
227,2.6
228,2.5
229,2.6
230,2.5
231,2.6
232,2.5
233,2.6
234,2.6
235,2.7
236,2.6
237,2.6
238,2.7
239,2.6
240,2.7
241,2.8
242,2.8
243,2.7
244,2.7
245,2.7
246,2.8
247,2.8
248,2.7
249,2.8
250,2.8
251,2.8
252,2.9
253,2.8
254,2.9
255,2.8
256,2.8
257,2.8
258,3
259,2.8
260,2.9
261,2.9
262,2.9
263,3
264,3
265,3.1
266,3
267,3
268,3.1
269,3.1
270,2.9
271,3
272,3.2
273,3
274,3.1
275,3.1
276,3.1
277,3.1
278,3.1
279,3.2
280,3.1
281,3.2
282,3.2
283,3.2
284,3.2
285,3.2
286,3.3
287,3.3
288,3.2
289,3.5
290,3.2
291,3.4
292,3.3
293,3.2
294,3.3
295,3.3
296,3.3
297,3.3
298,3.3
299,3.3
300,3.4
