N,T
1,18680
2,43570
3,50510
4,76360
5,158550
6,126990
7,114790
8,151620
9,159750
10,124780
11,173650
12,194430
13,224670
14,229980
15,171490
16,210450
17,255720
18,154990
19,124570
20,424480
21,247570
22,215740
23,149880
24,77320
25,229110
26,187630
27,89320
28,391210
29,276460
30,184400
31,84460
32,170
33,1132740
34,1144520
35,1037850
36,1121570
37,1112740
38,1035680
39,1176590
40,1204900
41,1194930
42,1158120
43,1283050
44,1326240
45,1243640
46,1311040
47,1501740
48,1329130
49,1489610
50,1487800
51,1512700
52,1412630
53,1504450
54,1349180
55,1581770
56,1449780
57,1593180
58,1611400
59,1665310
60,1917460
61,1947510
62,1945330
63,1894540
64,1871920
65,2024840
66,2126270
67,2235730
68,2169520
69,2205320
70,2289120
71,2280060
72,2505520
73,2262370
74,2619310
75,2358930
76,2502190
77,2546210
78,2354610
79,2401520
80,2661450
81,2656160
82,2813160
83,2814310
84,2756330
85,2698880
86,2799520
87,2917190
88,2865600
89,3071910
90,3046540
91,2891570
92,3099790
93,3039490
94,3186710
95,2969580
96,2883990
97,3207700
98,3160950
99,3363660
100,3115930
101,3199090
102,3275950
103,3482420
104,3429190
105,3513830
106,3567810
107,3731030
108,3653430
109,3662550
110,3581450
111,3794380
112,3703430
113,3788910
114,3682350
115,3932240
116,3816310
117,3974970
118,3913460
119,4002130
120,4067380
121,4006940
122,4211470
123,4143210
124,4195450
125,4379390
126,4285940
127,3948890
128,4370200
129,4031410
130,4394300
131,4628820
132,5625070
133,5688040
134,5563620
135,5655240
136,5692610
137,5508820
138,5794320
139,5905590
140,6493540
141,6095150
142,6182800
143,6167030
144,5720140
145,5860950
146,5726590
147,5933310
148,6118130
149,6030650
150,6214550
151,6585000
152,6339510
153,6640910
154,6800250
155,6710460
156,6826780
157,6825450
158,6329790
159,6331030
160,6643360
161,6769640
162,6848780
163,6772690
164,6606090
165,6805710
166,6888840
167,7280910
168,6668030
169,6640070
170,7112820
171,8169500
172,6789110
173,7468020
174,7549640
175,8129290
176,7686930
177,7951540
178,7834620
179,7915220
180,8241040
181,8289070
182,8598880
183,8471340
184,8516800
185,8400840
186,8187450
187,10001130
188,9590290
189,10524090
190,11561610
191,10442660
192,9624320
193,9607780
194,8964170
195,9071860
196,8535250
197,8524400
198,8977880
199,8578080
200,8135350
201,8395840
202,8188300
203,8321800
204,8131770
205,8110950
206,8132750
207,8265730
208,8238850
209,8687630
210,7931310
211,7997210
212,8112050
213,8473360
214,8203400
215,8232090
216,7768700
217,8103330
218,7986560
219,7866140
220,7935320
221,8747850
222,7938840
223,7545820
224,7903580
225,7752870
226,8418920
227,8042390
228,8396940
229,6839770
230,7140040
231,7063480
232,7203910
233,7477060
234,6965320
235,7160320
236,7705070
237,7599710
238,7348170
239,6672250
240,6884920
241,6915550
242,6915860
243,6780120
244,6438930
245,7000350
246,7312340
247,6647640
248,6439220
249,6870020
250,7134220
251,6901650
252,7525340
253,6522270
254,6690640
255,6798440
256,6706580
257,6262500
258,5884090
259,6763520
260,6190230
261,6418960
262,4590550
263,1123170
264,494640
265,760480
266,994360
267,347940
268,1018060
269,401430
270,476260
271,468700
272,470200
273,617240
274,148110
275,561590
276,253730
277,337940
278,1437100
279,203710
280,240810
281,827670
282,190660
283,239260
284,443340
285,466080
286,121140
287,162840
288,338650
289,200
290,128050
291,193090
292,48770
293,13830
294,40180
295,210
296,240
297,170
298,230
299,190
300,240
301,220
302,170
303,190
304,200
305,190
306,170
307,170
308,190
309,210
310,170
311,180
312,230
313,220
314,190
315,290
316,220
317,180
318,180
319,180
320,250
321,180
322,220
323,180
324,170
325,190
326,200
327,180
328,590
329,200
330,150
331,260
332,230
333,330
334,240
335,230
336,160
337,190
338,240
339,400
340,810
341,210
342,180
343,190
344,260
345,300
346,240
347,190
348,260
349,200
350,400
351,300
352,640
353,240
354,160
355,260
356,210
357,210
358,420
359,270
360,210
361,290
362,210
363,180
364,380
365,220
366,300
367,220
368,230
369,310
370,320
371,440
372,380
373,270
374,230
375,610
376,170
377,330
378,160
379,250
380,280
381,250
382,190
383,360
384,210
385,190
386,380
387,270
388,190
389,220
390,220
391,190
392,190
393,240
394,200
395,170
396,330
397,170
398,230
399,260
400,180
401,190
402,260
403,220
404,200
405,210
406,220
407,310
408,730
409,300
410,320
411,270
412,190
413,220
414,370
415,380
416,250
417,190
418,400
419,360
420,390
421,350
422,280
423,200
424,180
425,350
426,190
427,210
428,440
429,170
430,390
431,360
432,270
433,210
434,160
435,190
436,230
437,340
438,310
439,200
440,240
441,280
442,210
443,270
444,190
445,220
446,440
447,2020
448,360
449,370
450,220
451,220
452,240
453,320
454,250
455,290
456,660
457,260
458,530
459,390
460,260
461,250
462,230
463,380
464,280
465,420
466,610
467,210
468,420
469,270
470,320
471,220
472,270
473,390
474,400
475,290
476,250
477,190
478,470
479,270
480,310
481,220
482,270
483,650
484,250
485,230
486,200
487,270
488,220
489,200
490,330
491,630
492,240
493,270
494,310
495,250
496,200
497,380
498,290
499,400
500,370
501,210
502,220
503,200
504,290
505,250
506,290
507,290
508,410
509,210
510,180
511,340
512,440
513,440
514,250
515,390
516,430
517,370
518,350
519,260
520,390
521,220
522,340
523,310
524,290
525,440
526,200
527,320
528,180
529,310
530,160
531,330
532,1190
533,210
534,270
535,300
536,460
537,210
538,300
539,220
540,510
541,180
542,240
543,410
544,320
545,370
546,310
547,730
548,300
549,480
550,330
551,190
552,260
553,200
554,320
555,250
556,260
557,170
558,260
559,270
560,280
561,210
562,340
563,230
564,490
565,220
566,290
567,190
568,240
569,360
570,240
571,220
572,260
573,350
574,190
575,260
576,210
577,350
578,230
579,280
580,180
581,250
582,200
583,310
584,320
585,380
586,260
587,330
588,260
589,330
590,290
591,370
592,220
593,280
594,300
595,430
596,340
597,220
598,230
599,520
600,270
601,340
602,190
603,240
604,220
605,230
606,280
607,270
608,260
609,290
610,310
611,230
612,320
613,290
614,260
615,190
616,280
617,210
618,260
619,190
620,220
621,220
622,470
623,200
624,260
625,620
626,230
627,350
628,210
629,280
630,280
631,370
632,190
633,350
634,200
635,290
636,200
637,310
638,420
639,460
640,240
641,210
642,370
643,310
644,240
645,230
646,240
647,270
648,320
649,280
650,200
651,270
652,210
653,340
654,190
655,330
656,190
657,300
658,470
659,570
660,570
661,340
662,420
663,260
664,650
665,320
666,220
667,290
668,200
669,320
670,190
671,270
672,280
673,240
674,370
675,270
676,280
677,210
678,370
679,460
680,240
681,250
682,180
683,240
684,210
685,280
686,260
687,230
688,370
689,260
690,950
691,320
692,270
693,260
694,260
695,390
696,260
697,320
698,420
699,400
700,420
701,280
702,230
703,330
704,370
705,350
706,280
707,180
708,470
709,270
710,310
711,300
712,170
713,360
714,410
715,290
716,250
717,320
718,410
719,200
720,470
721,330
722,410
723,500
724,560
725,250
726,270
727,210
728,330
729,260
730,330
731,350
732,410
733,290
734,320
735,250
736,750
737,260
738,210
739,290
740,220
741,460
742,340
743,290
744,500
745,380
746,270
747,260
748,300
749,270
750,380
751,250
752,260
753,320
754,350
755,450
756,410
757,290
758,540
759,260
760,220
761,350
762,320
763,270
764,350
765,200
766,310
767,270
768,210
769,630
770,350
771,230
