N,T1,T2
1,105,0
2,110,0
3,120,0
4,80,0
5,160,0
6,220,0
7,190,0
8,170,0
9,190,0
10,110,0
11,130,0
12,160,0
13,180,0
14,150,0
15,190,0
16,210,0
17,180,0
18,160,0
19,200,0
20,160,0
21,160,0
22,160,0
23,160,0
24,150,0
25,240,0
26,190,0
27,200,0
28,210,0
29,210,0
30,200,0
31,190,0
32,180,0
33,210,0
34,200,0
35,160,0
36,170,0
37,190,0
38,160,0
39,200,0
40,170,0
41,150,0
42,140,0
43,170,0
44,190,0
45,170,0
46,160,0
47,140,0
48,140,0
49,180,0
50,200,0
51,190,0
52,150,0
53,230,0
54,190,0
55,170,0
56,170,0
57,180,0
58,180,0
59,180,0
60,170,0
61,180,0
62,200,0
63,200,0
64,190,0
65,190,0
66,180,0
67,200,0
68,180,0
69,190,0
70,180,0
71,230,0
72,180,0
73,180,0
74,200,0
75,180,0
76,200,0
77,150,0
78,150,0
79,160,0
80,180,0
81,170,0
82,180,0
83,180,0
84,140,0
85,180,0
86,220,0
87,170,0
88,190,0
89,190,0
90,140,0
91,170,0
92,420,0
93,270,0
94,220,0
95,200,0
96,160,0
97,220,0
98,190,0
99,230,0
100,180,0
101,220,0
102,180,0
103,190,0
104,330,0
105,180,0
106,240,0
107,200,0
108,210,0
109,170,0
110,150,0
111,200,0
112,140,0
113,240,0
114,160,0
115,210,0
116,190,0
117,180,0
118,190,0
119,230,0
120,160,0
121,150,0
122,200,0
123,180,0
124,170,0
125,210,0
126,170,0
127,170,0
128,160,0
129,190,0
130,180,0
131,170,0
132,140,0
133,180,0
134,400,0
135,210,0
136,180,0
137,350,0
138,240,0
139,190,0
140,200,0
141,200,0
142,260,0
143,220,0
144,170,0
145,290,0
146,200,0
147,210,0
148,210,0
149,220,0
150,190,0
151,140,0
152,190,0
153,140,0
154,190,0
155,260,0
156,190,0
157,220,0
158,190,0
159,190,0
160,170,0
161,170,0
162,170,0
163,250,0
164,170,0
165,190,0
166,220,0
167,190,0
168,190,0
169,350,0
170,220,0
171,200,0
172,190,0
173,150,0
174,180,0
175,220,0
176,270,0
177,160,0
178,190,0
179,200,0
180,190,0
181,150,0
182,340,0
183,220,0
184,180,0
185,260,0
186,260,0
187,230,0
188,460,0
189,370,0
190,330,0
191,190,0
192,200,0
193,270,0
194,230,0
195,230,0
196,190,0
197,180,0
198,210,0
199,160,0
200,210,0
201,230,0
202,170,0
203,220,0
204,280,0
205,270,0
206,270,0
207,270,0
208,180,0
209,220,0
210,210,0
211,220,0
212,330,0
213,380,0
214,590,0
215,360,0
216,290,0
217,220,0
218,240,0
219,320,0
220,210,0
221,260,0
222,280,0
223,410,0
224,510,0
225,390,0
226,280,0
227,220,0
228,210,0
229,280,0
230,180,0
231,170,0
232,210,0
233,190,0
234,290,0
235,190,0
236,200,0
237,230,0
238,250,0
239,310,0
240,180,0
241,240,0
242,380,0
243,230,0
244,290,0
245,370,0
246,380,0
247,220,0
248,730,0
249,190,0
250,220,0
251,290,0
252,240,0
253,240,0
254,210,0
255,270,0
256,310,0
257,270,0
258,650,0
259,260,0
260,160,0
261,420,0
262,220,0
263,180,0
264,150,0
265,170,0
266,200,0
267,250,0
268,150,0
269,190,0
270,290,0
271,170,0
272,160,0
273,180,0
274,200,0
275,130,0
276,160,0
277,170,0
278,160,0
279,140,0
280,150,0
281,160,0
282,130,0
283,150,0
284,140,0
285,200,0
286,190,0
287,140,0
288,140,0
289,210,0
290,130,0
291,150,0
292,160,0
293,250,0
294,160,0
295,160,0
296,150,0
297,200,0
298,170,0
299,260,0
300,200,0
301,160,0
302,180,0
303,190,0
304,150,0
305,180,0
306,130,0
307,210,0
308,180,0
309,140,0
310,150,0
311,220,0
312,130,0
313,160,0
314,180,0
315,150,0
316,290,0
317,230,0
318,220,0
319,180,0
320,240,0
321,430,0
322,160,0
323,190,0
324,230,0
325,200,0
326,170,0
327,160,0
328,230,0
329,180,0
330,160,0
331,220,0
332,240,0
333,160,0
334,270,0
335,210,0
336,220,0
337,370,0
338,640,0
339,870,0
340,1480,0
341,610,0
342,380,0
343,490,0
344,390,0
345,1860,0
346,500,0
347,460,0
348,420,0
349,410,0
350,470,0
351,550,0
352,300,0
353,300,0
354,390,0
355,470,0
356,210,0
357,310,0
358,230,0
359,480,0
360,240,0
361,380,0
362,370,0
363,280,0
364,490,0
365,230,0
366,350,0
367,270,0
368,600,0
369,290,0
370,280,0
371,170,0
372,240,0
373,210,0
374,150,0
375,200,0
376,250,0
377,190,0
378,230,0
379,230,0
380,210,0
381,360,0
382,200,0
383,240,0
384,330,0
385,250,0
386,280,0
387,180,0
388,220,0
389,200,0
390,180,0
391,330,0
392,230,0
393,180,0
394,140,0
395,180,0
396,200,0
397,210,0
398,200,0
399,180,0
400,190,0
401,230,0
402,270,0
403,220,0
404,160,0
405,190,0
406,180,0
407,210,0
408,180,0
409,380,0
410,230,0
411,360,0
412,260,0
413,200,0
414,170,0
415,230,0
416,200,0
417,210,0
418,310,0
419,200,0
420,180,0
421,310,0
422,200,0
423,220,0
424,220,0
425,150,0
426,310,0
427,220,0
428,240,0
429,280,0
430,250,0
431,680,0
432,210,0
433,220,0
434,190,0
435,200,0
436,160,0
437,110,0
438,210,0
439,190,0
440,160,0
441,160,0
442,180,0
443,230,0
444,240,0
445,250,0
446,240,0
447,200,0
448,160,0
449,220,0
450,120,0
451,150,0
452,220,0
453,220,0
454,160,0
455,190,0
456,230,0
457,210,0
458,450,0
459,250,0
