N,T1,T2
1,115,0
2,90,0
3,70,0
4,60,0
5,70,0
6,70,0
7,90,0
8,100,0
9,100,0
10,120,0
11,80,0
12,80,0
13,100,0
14,90,0
15,110,0
16,120,0
17,110,0
18,120,0
19,140,0
20,120,0
21,140,0
22,180,0
23,180,0
24,170,0
25,140,0
26,140,0
27,140,0
28,130,0
29,150,0
30,160,0
31,140,0
32,200,0
33,120,0
34,100,0
35,100,0
36,90,0
37,90,0
38,90,0
39,170,0
40,70,0
41,80,0
42,90,0
43,120,0
44,80,0
45,130,0
46,110,0
47,280,0
48,120,0
49,170,0
50,100,0
51,100,0
52,110,0
53,100,0
54,190,0
55,230,0
56,140,0
57,110,0
58,210,0
59,90,0
60,80,0
61,90,0
62,90,0
63,90,0
64,150,0
65,110,0
66,90,0
67,130,0
68,120,0
69,90,0
70,90,0
71,110,0
72,60,0
73,290,0
74,150,0
75,100,0
76,100,0
77,110,0
78,90,0
79,90,0
80,170,0
81,120,0
82,70,0
83,120,0
84,120,0
85,110,0
86,160,0
87,100,0
88,90,0
89,120,0
90,100,0
91,150,0
92,110,0
93,100,0
94,150,0
95,90,0
96,120,0
97,110,0
98,90,0
99,140,0
100,100,0
101,130,0
102,100,0
103,170,0
104,130,0
105,150,0
106,150,0
107,120,0
108,110,0
109,120,0
110,130,0
111,100,0
112,130,0
113,110,0
114,130,0
115,110,0
116,80,0
117,110,0
118,100,0
119,140,0
120,100,0
121,170,0
122,100,0
123,160,0
124,90,0
125,130,0
126,100,0
127,140,0
128,80,0
129,120,0
130,90,0
131,180,0
132,90,0
133,180,0
134,100,0
135,200,0
136,200,0
137,500,0
138,490,0
139,240,0
140,170,0
141,140,0
142,100,0
143,270,0
144,370,0
145,130,0
146,210,0
147,150,0
148,120,0
149,130,0
150,150,0
151,140,0
152,170,0
153,170,0
154,200,0
155,240,0
156,420,0
157,280,0
158,180,0
159,150,0
160,230,0
161,120,0
162,160,0
163,220,0
164,220,0
165,120,0
166,140,0
167,160,0
168,230,0
169,270,0
170,310,0
171,120,0
172,130,0
173,130,0
174,240,0
175,190,0
176,150,0
177,130,0
178,140,0
179,300,0
180,320,0
181,140,0
182,160,0
183,130,0
184,140,0
185,100,0
186,160,0
187,180,0
188,110,0
189,110,0
190,150,0
191,170,0
192,330,0
193,100,0
194,140,0
195,130,0
196,130,0
197,150,0
198,220,0
199,250,0
200,150,0
201,140,0
202,120,0
203,120,0
204,160,0
205,140,0
206,160,0
207,90,0
208,140,0
209,160,0
210,210,0
211,390,0
212,90,0
213,110,0
214,320,0
215,220,0
216,230,0
217,130,0
218,130,0
219,280,0
220,110,0
221,190,0
222,100,0
223,280,0
224,210,0
225,140,0
226,340,0
227,240,0
228,280,0
229,1130,0
230,380,0
231,710,0
232,270,0
233,300,0
234,340,0
235,160,0
236,220,0
237,210,0
238,210,0
239,270,0
240,380,0
241,220,0
242,160,0
243,260,0
244,240,0
245,180,0
246,150,0
247,200,0
248,280,0
249,130,0
250,140,0
251,530,0
252,360,0
253,900,0
254,1160,0
255,540,0
256,350,0
257,420,0
258,460,0
259,640,0
260,460,0
261,330,0
262,480,0
263,260,0
264,260,0
265,550,0
266,300,0
267,270,0
268,220,0
269,320,0
270,410,0
271,340,0
272,230,0
273,350,0
274,280,0
275,240,0
276,260,0
277,200,0
278,260,0
279,410,0
280,210,0
281,220,0
282,230,0
283,220,0
284,200,0
285,240,0
286,170,0
287,210,0
288,190,0
289,220,0
290,220,0
291,210,0
292,240,0
293,230,0
294,180,0
295,200,0
296,200,0
297,190,0
298,210,0
299,180,0
300,210,0
301,320,0
302,250,0
303,230,0
304,220,0
305,220,0
306,230,0
307,200,0
308,190,0
309,180,0
310,220,0
311,210,0
312,220,0
313,170,0
314,170,0
315,210,0
316,170,0
317,200,0
318,170,0
319,250,0
320,260,0
321,360,0
322,260,0
323,240,0
324,260,0
325,890,0
326,270,0
327,180,0
328,280,0
329,300,0
330,230,0
331,180,0
332,190,0
333,170,0
334,170,0
335,220,0
336,190,0
337,270,0
338,710,0
339,220,0
340,220,0
341,260,0
342,210,0
343,210,0
344,170,0
345,160,0
346,240,0
347,220,0
348,230,0
349,190,0
350,280,0
351,200,0
352,170,0
353,190,0
354,190,0
355,160,0
356,180,0
357,190,0
358,300,0
359,160,0
360,190,0
361,180,0
362,180,0
363,180,0
364,260,0
365,270,0
366,220,0
367,210,0
368,280,0
369,240,0
370,310,0
371,250,0
372,230,0
373,240,0
374,200,0
375,370,0
376,280,0
377,300,0
378,270,0
379,310,0
380,230,0
381,320,0
382,270,0
383,210,0
384,320,0
385,270,0
386,210,0
387,210,0
388,250,0
389,330,0
390,220,0
391,220,0
392,240,0
393,480,0
394,240,0
395,240,0
396,280,0
397,240,0
398,200,0
399,250,0
400,240,0
401,300,0
402,230,0
403,240,0
404,230,0
405,230,0
406,200,0
407,190,0
408,340,0
409,220,0
410,210,0
411,220,0
412,430,0
413,210,0
414,200,0
415,250,0
416,230,0
417,210,0
418,250,0
419,190,0
420,200,0
421,220,0
422,180,0
423,190,0
424,190,0
425,190,0
426,200,0
427,190,0
428,190,0
429,180,0
430,200,0
431,250,0
432,240,0
433,200,0
434,190,0
435,200,0
436,190,0
437,190,0
438,180,0
439,210,0
440,220,0
441,250,0
442,180,0
443,180,0
444,200,0
445,320,0
446,250,0
447,290,0
448,680,0
449,460,0
450,400,0
451,380,0
452,270,0
453,250,0
454,300,0
455,250,0
456,250,0
457,270,0
458,290,0
459,290,0
460,230,0
461,220,0
462,280,0
463,350,0
464,230,0
465,560,0
466,220,0
467,230,0
468,320,0
469,250,0
470,260,0
471,270,0
472,230,0
473,220,0
474,300,0
475,280,0
476,200,0
477,200,0
478,230,0
479,200,0
480,200,0
481,300,0
482,290,0
483,210,0
484,200,0
485,200,0
486,190,0
487,180,0
488,190,0
489,180,0
490,190,0
491,180,0
492,190,0
493,190,0
494,170,0
495,210,0
496,200,0
497,260,0
498,300,0
499,260,0
500,160,0
501,200,0
502,190,0
503,190,0
504,220,0
505,280,0
506,270,0
507,290,0
508,250,0
509,340,0
510,220,0
511,220,0
512,190,0
513,300,0
514,230,0
515,460,0
516,380,0
517,320,0
518,210,0
519,270,0
520,360,0
521,280,0
522,310,0
523,440,0
524,220,0
525,250,0
526,270,0
527,380,0
528,230,0
529,260,0
530,240,0
531,330,0
532,220,0
533,210,0
534,210,0
535,270,0
536,200,0
537,400,0
538,330,0
539,640,0
540,370,0
541,240,0
542,480,0
543,430,0
544,1260,0
545,310,0
546,520,0
547,290,0
548,230,0
549,1010,0
550,290,0
551,400,0
552,730,0
553,800,0
554,260,0
555,330,0
556,290,0
557,320,0
558,290,0
559,350,0
560,390,0
561,250,0
562,170,0
563,300,0
564,380,0
565,320,0
566,260,0
567,270,0
568,230,0
569,270,0
570,270,0
571,240,0
572,260,0
573,250,0
574,220,0
575,330,0
576,210,0
577,300,0
578,220,0
579,280,0
580,240,0
581,340,0
582,200,0
583,240,0
584,280,0
585,280,0
586,240,0
587,280,0
588,200,0
589,200,0
590,320,0
591,180,0
592,200,0
593,180,0
594,200,0
595,190,0
596,220,0
597,180,0
598,230,0
599,210,0
600,240,0
601,250,0
602,200,0
603,230,0
604,230,0
605,220,0
606,200,0
607,230,0
608,200,0
609,210,0
610,240,0
611,200,0
612,180,0
613,180,0
614,240,0
615,180,0
616,180,0
617,200,0
618,200,0
619,190,0
620,290,0
621,180,0
622,180,0
