N,T1,T2
1,75,0
2,800,0
3,1730,0
4,2150,0
5,3280,0
6,3240,0
7,3360,0
8,4630,0
9,3710,0
10,4930,0
11,5460,0
12,6730,0
13,9070,0
14,7380,0
15,7220,0
16,10140,0
17,5510,0
18,10220,0
19,8830,0
20,9720,0
21,6540,0
22,8670,0
23,10020,0
24,8830,0
25,12280,0
26,10520,0
27,12430,0
28,11630,0
29,14020,0
30,10210,0
31,14270,0
32,14390,0
33,15710,0
34,11250,0
35,8680,0
36,12290,0
37,8080,0
38,10200,0
39,17850,0
40,14180,0
41,19750,0
42,12120,0
43,12700,0
44,19130,0
45,22890,0
46,11720,0
47,13810,0
48,11880,0
49,17730,0
50,19430,0
51,19430,0
52,16320,0
53,20350,0
54,19810,0
55,23010,0
56,18530,0
57,13050,0
58,14190,0
59,13050,0
60,12800,0
61,15080,0
62,15910,0
63,18690,0
64,19320,0
65,15070,0
66,19630,0
67,17210,0
68,15560,0
69,12370,0
70,20530,0
71,19990,0
72,27700,0
73,24680,0
74,16350,0
75,21170,0
76,22070,0
77,27870,0
78,27600,0
79,25930,0
80,23770,0
81,21990,0
82,13890,0
83,22680,0
84,17030,0
85,27940,0
86,23210,0
87,21730,0
88,20740,0
89,35700,0
90,27000,0
91,21920,0
92,34800,0
93,27760,0
94,35330,0
95,25000,0
96,17270,0
97,30700,0
98,24920,0
99,37510,0
100,31350,0
101,18450,0
102,28650,0
103,27770,0
104,27550,0
105,16800,0
106,15100,0
107,9830,0
108,23950,0
109,20490,0
110,15160,0
111,54410,0
112,37810,0
113,40820,0
114,16930,0
115,23340,0
116,16360,0
117,32760,0
118,26810,0
119,17630,0
120,19160,0
121,36720,0
122,29150,0
123,40340,0
124,14660,0
125,24090,0
126,25200,0
127,15460,0
128,32130,0
129,41920,0
130,12340,0
131,32650,0
132,16060,0
133,28840,0
134,16850,0
135,19780,0
136,21350,0
137,16620,0
138,17730,0
139,31210,0
140,19810,0
141,22030,0
142,29450,0
143,31880,0
144,29640,0
145,24010,0
146,39260,0
147,31550,0
148,14410,0
149,23260,0
150,21530,0
151,47980,0
152,35450,0
153,28070,0
154,17350,0
155,22590,0
156,31550,0
157,14210,0
158,26990,0
159,37950,0
160,40240,0
161,28570,0
162,41110,0
163,25460,0
164,29600,0
165,24760,0
166,22340,0
167,13820,0
168,34030,0
169,18430,0
170,39500,0
171,20670,0
172,39690,0
173,26070,0
174,21140,0
175,26540,0
176,36740,0
177,25510,0
178,33330,0
179,54570,0
180,37640,0
181,37490,0
182,36350,0
183,26900,0
184,19950,0
185,15450,0
186,23160,0
187,29890,0
188,45140,0
189,23460,0
190,24510,0
191,26120,0
192,36530,0
193,27420,0
194,31800,0
195,31340,0
196,46340,0
197,50760,0
198,16100,0
199,45100,0
200,25020,0
201,28220,0
202,40260,0
203,35730,0
204,33550,0
205,32160,0
206,25340,0
207,30160,0
208,37460,0
209,15500,0
210,15610,0
211,41550,0
212,34540,0
213,33010,0
214,16210,0
215,20450,0
216,25910,0
217,27650,0
218,38640,0
219,26250,0
220,31380,0
221,31570,0
222,38600,0
223,30270,0
224,44140,0
225,35210,0
226,39790,0
227,15400,0
228,36540,0
229,25400,0
230,25280,0
231,36910,0
232,29520,0
233,22270,0
234,23490,0
235,33790,0
236,49360,0
237,29780,0
238,18350,0
239,38270,0
240,42690,0
241,31910,0
242,18030,0
243,35650,0
244,32820,0
245,35230,0
246,31510,0
247,41400,0
248,22080,0
249,34960,0
250,18370,0
251,38640,0
252,18590,0
253,38920,0
254,23740,0
255,22020,0
256,25990,0
257,34710,0
258,27150,0
259,37590,0
260,21500,0
261,45690,0
262,32930,0
263,22900,0
264,31370,0
265,20480,0
266,37460,0
267,37770,0
268,39640,0
269,38100,0
270,35420,0
271,32650,0
272,29520,0
273,47650,0
274,36800,0
275,27880,0
276,25470,0
277,35020,0
278,35350,0
279,28230,0
280,8080,0
281,29270,0
282,31060,0
283,32680,0
284,19420,0
285,30890,0
286,23430,0
287,9970,0
288,29530,0
289,14770,0
290,21910,0
291,29260,0
292,18160,0
293,29440,0
294,25760,0
295,37780,0
296,15810,0
297,30430,0
298,26230,0
299,28300,0
300,38820,0
301,28580,0
302,36070,0
303,34550,0
304,21030,0
305,56370,0
306,37960,0
307,28000,0
308,19550,0
309,23530,0
310,31530,0
311,16660,0
312,40400,0
