N,T1,T2
1,1315,0
2,2540,0
3,3790,0
4,4070,0
5,4710,0
6,4880,0
7,5650,0
8,6910,0
9,7380,0
10,10480,0
11,9290,0
12,10990,0
13,11860,0
14,12110,0
15,12960,0
16,14400,0
17,12800,0
18,12190,0
19,15110,0
20,17080,0
21,14100,0
22,18470,0
23,23200,0
24,17960,0
25,16980,0
26,17670,0
27,22600,0
28,19170,0
29,17610,0
30,23950,0
31,23490,0
32,30000,0
33,22800,0
34,23370,0
35,15470,0
36,20530,0
37,27890,0
38,26750,0
39,27960,0
40,30480,0
41,20410,0
42,22790,0
43,33260,0
44,19940,0
45,24980,0
46,17540,0
47,32470,0
48,27220,0
49,29000,0
50,21550,0
51,41870,0
52,31520,0
53,34230,0
54,33940,0
55,34590,0
56,35560,0
57,29780,0
58,33120,0
59,25150,0
60,28780,0
61,29470,0
62,25170,0
63,32760,0
64,40680,0
65,45210,0
66,33680,0
67,15870,0
68,40170,0
69,44060,0
70,29500,0
71,22080,0
72,25070,0
73,38680,0
74,56620,0
75,40140,0
76,21870,0
77,41350,0
78,24190,0
79,49410,0
80,37350,0
81,18350,0
82,31960,0
83,31990,0
84,23230,0
85,19510,0
86,35380,0
87,37970,0
88,33790,0
89,36930,0
90,28330,0
91,38480,0
92,35750,0
93,33180,0
94,30560,0
95,45650,0
96,34650,0
97,41890,0
98,20440,0
99,34820,0
100,32200,0
101,36760,0
102,18440,0
103,32900,0
104,42940,0
105,27520,0
106,24550,0
107,32170,0
108,22300,0
109,48960,0
110,26240,0
111,21130,0
112,24410,0
113,28230,0
114,36470,0
115,25550,0
116,34870,0
117,40960,0
118,28630,0
119,36970,0
120,43190,0
121,32630,0
122,36020,0
123,45880,0
124,35280,0
125,60230,0
126,44680,0
127,23030,0
128,58990,0
129,41250,0
130,34660,0
131,41230,0
132,42610,0
133,55440,0
134,21690,0
135,40530,0
136,38280,0
137,48210,0
138,28330,0
139,39200,0
140,37420,0
141,49070,0
142,46950,0
143,40770,0
144,45710,0
145,18470,0
146,27480,0
147,23280,0
148,24310,0
149,72670,0
150,22860,0
151,22080,0
152,45940,0
153,28930,0
154,45120,0
155,21640,0
156,32300,0
157,31150,0
158,20070,0
159,34070,0
160,47570,0
161,36910,0
162,28210,0
163,42070,0
164,41010,0
165,38880,0
166,41560,0
167,30710,0
168,46460,0
169,31260,0
170,39910,0
171,31830,0
172,50480,0
173,18910,0
174,40260,0
175,41400,0
176,37770,0
177,36890,0
178,23480,0
179,29930,0
180,43230,0
181,41590,0
182,45430,0
183,35710,0
184,27270,0
185,44040,0
186,12540,0
187,32580,0
188,24200,0
189,25720,0
190,49550,0
191,21040,0
192,37160,0
193,24420,0
194,32940,0
195,45100,0
196,28200,0
197,30600,0
198,31020,0
199,44250,0
200,42810,0
201,34900,0
202,22910,0
203,43150,0
204,51240,0
205,29120,0
206,31840,0
207,23940,0
208,48240,0
209,37250,0
210,24980,0
211,21730,0
212,27620,0
213,70440,0
214,38410,0
215,65870,0
216,31220,0
217,25080,0
218,38700,0
219,31030,0
220,54290,0
221,48440,0
222,39210,0
223,48970,0
224,15570,0
225,35390,0
226,25350,0
227,37050,0
228,41400,0
229,40350,0
230,43320,0
231,22530,0
232,60520,0
233,52960,0
234,40370,0
235,38160,0
236,74870,0
237,22960,0
238,29140,0
239,30400,0
240,29050,0
241,18180,0
242,43680,0
243,22210,0
244,45070,0
245,33740,0
246,47820,0
247,19390,0
248,33400,0
249,37500,0
250,42340,0
251,34190,0
252,17260,0
253,57960,0
254,44840,0
255,25320,0
256,50750,0
257,21610,0
258,25520,0
259,23860,0
260,49240,0
261,32170,0
262,36990,0
263,31670,0
264,32360,0
265,22670,0
266,63320,0
267,33540,0
268,20000,0
269,25690,0
270,25190,0
271,34550,0
272,29550,0
273,35170,0
274,48250,0
275,46710,0
276,55820,0
277,26320,0
278,26750,0
279,37200,0
280,41190,0
281,40500,0
282,42790,0
283,28120,0
284,38300,0
285,32830,0
286,27350,0
287,30070,0
288,25240,0
289,34610,0
290,35160,0
291,41770,0
292,35220,0
293,32190,0
294,51330,0
295,16820,0
296,21940,0
297,34840,0
298,31710,0
299,26690,0
300,26950,0
301,47340,0
302,31280,0
303,54090,0
304,44080,0
305,23550,0
306,45870,0
307,63670,0
308,11460,0
309,16660,0
310,45810,0
311,68120,0
312,44710,0
313,29160,0
314,35160,0
315,42380,0
316,42370,0
317,36790,0
318,38190,0
319,29300,0
320,28680,0
321,15230,0
322,33240,0
323,26980,0
324,20740,0
325,28670,0
326,48460,0
327,28580,0
328,21180,0
329,41640,0
330,62730,0
331,33650,0
332,28180,0
333,32130,0
334,32050,0
335,34930,0
336,15650,0
337,27300,0
338,30010,0
339,32400,0
340,46800,0
341,52600,0
342,27170,0
343,26750,0
344,26700,0
345,41960,0
346,45060,0
347,44560,0
348,48610,0
349,44660,0
350,76280,0
351,34380,0
352,34740,0
353,31150,0
354,47190,0
355,29800,0
356,34870,0
357,31740,0
358,29290,0
359,57700,0
360,37360,0
361,40260,0
362,45370,0
363,23700,0
364,42350,0
365,28880,0
366,46600,0
367,28130,0
368,40290,0
369,28170,0
370,30590,0
371,29920,0
372,44470,0
373,45020,0
374,25200,0
375,40820,0
376,31870,0
377,62400,0
378,42330,0
379,35470,0
380,54170,0
381,40910,0
382,34250,0
383,20490,0
384,54670,0
385,40710,0
386,41190,0
387,40400,0
388,34260,0
389,32950,0
390,36420,0
391,55160,0
392,49590,0
393,23000,0
394,28410,0
395,71420,0
396,45540,0
397,27810,0
398,32240,0
399,35290,0
400,35370,0
401,32940,0
402,22270,0
403,23360,0
404,48920,0
405,37840,0
406,48910,0
407,24180,0
408,80690,0
409,39770,0
410,33850,0
411,22020,0
412,29220,0
413,40700,0
414,36940,0
415,40390,0
416,24440,0
417,33590,0
418,50130,0
419,29180,0
420,36940,0
421,28040,0
422,42060,0
423,40470,0
424,53130,0
425,45200,0
426,33350,0
427,43380,0
428,20120,0
429,42470,0
430,47160,0
431,47470,0
432,69250,0
433,37780,0
434,17370,0
435,45950,0
436,48680,0
437,50160,0
438,22850,0
439,72020,0
440,36490,0
441,50460,0
442,38140,0
443,43390,0
444,48360,0
445,33640,0
446,19360,0
447,41140,0
448,33100,0
449,31190,0
450,46460,0
451,39660,0
452,24260,0
453,59970,0
454,34470,0
455,51910,0
456,25190,0
457,46120,0
458,27700,0
459,25560,0
460,38020,0
461,32350,0
462,32690,0
463,60940,0
464,36060,0
465,45910,0
466,21790,0
467,26950,0
468,26950,0
469,26890,0
470,33930,0
471,46570,0
472,35960,0
473,43890,0
474,29830,0
475,53250,0
476,25940,0
477,45820,0
478,22770,0
479,19300,0
480,50580,0
481,55640,0
482,30520,0
483,30670,0
484,28820,0
485,37800,0
486,36390,0
487,34920,0
488,52560,0
489,48740,0
490,35770,0
491,51220,0
492,43040,0
493,27960,0
494,19750,0
495,40270,0
496,31800,0
497,36580,0
498,54960,0
499,56050,0
500,24020,0
501,35800,0
502,25420,0
503,38870,0
504,19850,0
505,33450,0
506,32430,0
507,35560,0
508,23140,0
509,36300,0
510,49160,0
511,45040,0
512,33160,0
513,34510,0
514,36180,0
515,28820,0
516,36200,0
517,32270,0
518,38170,0
519,45670,0
520,23980,0
521,27210,0
522,65320,0
523,31440,0
524,22930,0
525,35360,0
526,23890,0
527,27010,0
528,27000,0
529,27190,0
530,32140,0
531,53330,0
532,48590,0
533,28080,0
534,53480,0
535,44440,0
536,57390,0
537,39980,0
538,28740,0
539,25020,0
540,56560,0
541,21380,0
542,14760,0
543,36770,0
544,43470,0
545,26880,0
546,31730,0
547,28050,0
548,31570,0
549,45230,0
550,24080,0
551,39010,0
552,39020,0
553,48490,0
554,29850,0
555,41770,0
556,35300,0
557,46430,0
558,38870,0
559,40290,0
560,46620,0
561,41320,0
562,33020,0
563,34140,0
564,38820,0
565,28740,0
566,42020,0
567,53890,0
568,71920,0
569,36080,0
570,22130,0
571,32460,0
572,47250,0
573,27990,0
574,50240,0
575,27710,0
576,19700,0
577,42820,0
578,43780,0
579,33680,0
580,53870,0
581,45930,0
582,45920,0
583,42550,0
584,75060,0
585,28850,0
586,65570,0
587,28730,0
588,23220,0
589,21180,0
590,41950,0
591,27270,0
592,41410,0
593,28840,0
594,23100,0
