N,T1,T2
1,45,0
2,30660,0
3,29430,0
4,80480,0
5,29830,0
6,68040,0
7,53320,0
8,68840,0
9,53550,0
10,71370,0
11,78220,0
12,99020,0
13,32800,0
14,54220,0
15,26170,0
16,60510,0
17,129870,0
18,51330,0
19,77910,0
20,52100,0
21,154710,0
22,82970,0
23,54500,0
24,75510,0
25,110640,0
26,60060,0
27,36420,0
28,48920,0
29,163880,0
30,54650,0
31,177620,0
32,124640,0
33,68120,0
34,72820,0
35,59610,0
36,52800,0
37,56480,0
38,76270,0
39,166780,0
40,68210,0
41,78440,0
42,62000,0
43,129140,0
44,71520,0
45,134980,0
46,143470,0
47,105070,0
48,44250,0
49,93410,0
50,258350,0
51,104990,0
52,172310,0
53,54350,0
54,87880,0
55,168580,0
56,120130,0
57,85640,0
58,96490,0
59,220110,0
60,168450,0
61,44970,0
62,90990,0
63,98710,0
64,88120,0
65,74180,0
66,139010,0
67,82400,0
68,102390,0
69,123410,0
70,38260,0
71,139580,0
72,122600,0
73,237660,0
74,93770,0
75,118990,0
76,59240,0
77,533390,0
78,150120,0
79,88020,0
80,302160,0
81,312050,0
82,72180,0
83,121110,0
84,86110,0
85,160950,0
86,158200,0
87,209300,0
88,218930,0
89,84880,0
90,135830,0
91,210430,0
92,124550,0
93,143050,0
94,195780,0
95,101980,0
96,31250,0
97,106600,0
98,248500,0
99,76620,0
100,132910,0
101,462470,0
102,201560,0
103,62060,0
104,206130,0
105,124570,0
106,76170,0
107,82880,0
108,2441950,0
109,426610,0
110,145810,0
111,205810,0
112,89690,0
113,258130,0
114,1494280,0
115,121600,0
116,66660,0
117,249170,0
118,208870,0
119,90090,0
120,342540,0
121,214820,0
122,175870,0
123,35340,0
124,72120,0
125,372000,0
126,152640,0
127,227110,0
128,670800,0
129,190830,0
130,166050,0
131,52890,0
132,168340,0
133,143010,0
134,166670,0
135,105780,0
136,297140,0
137,279980,0
138,146450,0
139,298130,0
140,214720,0
141,668310,0
142,167690,0
143,346100,0
144,174290,0
145,209760,0
146,391560,0
147,146420,0
148,94640,0
149,204820,0
150,125160,0
151,250070,0
152,151590,0
153,122520,0
154,459560,0
155,110770,0
156,187570,0
157,285150,0
158,117440,0
159,161580,0
160,136360,0
161,260120,0
162,219670,0
163,1120560,0
164,287840,0
165,185200,0
166,52960,0
167,190410,0
168,113310,0
169,219490,0
170,412460,0
171,239880,0
172,119320,0
173,954160,0
174,286540,0
175,175560,0
176,203330,0
177,166390,0
178,237720,0
179,265440,0
180,186210,0
181,205600,0
182,264410,0
183,870530,0
184,95150,0
185,125560,0
186,112710,0
187,18870,0
188,394390,0
189,132400,0
190,200950,0
191,680960,0
192,345400,0
193,127810,0
194,106610,0
195,677240,0
196,570560,0
197,219690,0
198,211270,0
199,136120,0
200,188890,0
201,145340,0
202,205500,0
203,229290,0
204,170560,0
205,236960,0
206,347250,0
207,162230,0
208,362480,0
209,578610,0
210,309280,0
211,323350,0
212,131430,0
213,133010,0
214,146300,0
215,145070,0
216,385300,0
217,163900,0
218,140900,0
219,332200,0
220,212860,0
221,126990,0
222,155810,0
223,152850,0
224,552140,0
225,310030,0
226,405420,0
227,102580,0
228,517120,0
229,163930,0
230,273000,0
231,98100,0
232,544330,0
233,262850,0
234,172490,0
235,151530,0
236,301880,0
237,954520,0
238,187760,0
239,364880,0
240,870890,0
241,686720,0
242,488160,0
243,254050,0
244,528030,0
245,82290,0
246,417110,0
247,200350,0
248,165720,0
249,228830,0
250,165500,0
251,262200,0
252,132000,0
253,109560,0
254,309040,0
255,411830,0
256,125740,0
257,219050,0
258,79070,0
259,168540,0
260,1508000,0
261,555150,0
262,172460,0
263,453210,0
264,227320,0
265,353850,0
266,115860,0
267,72150,0
268,126890,0
269,108990,0
270,210050,0
271,183640,0
272,343130,0
273,161440,0
274,576780,0
275,142980,0
276,560280,0
277,118840,0
278,91920,0
279,114290,0
280,592460,0
281,261210,0
282,107330,0
283,93630,0
284,110160,0
285,99770,0
286,107260,0
287,250040,0
288,253640,0
289,170720,0
290,36190,0
291,119660,0
292,252600,0
293,335940,0
294,228930,0
295,186460,0
296,299480,0
297,508090,0
298,203500,0
299,988840,0
300,333020,0
301,340660,0
302,630310,0
303,1025260,0
304,208960,0
305,237900,0
306,256060,0
307,257700,0
308,153500,0
309,672430,0
310,483600,0
311,119070,0
312,331710,0
313,159790,0
314,710450,0
315,181480,0
316,125890,0
317,142420,0
318,135620,0
319,289550,0
320,169310,0
321,262720,0
322,257910,0
323,242720,0
324,281320,0
325,287930,0
326,554940,0
327,368140,0
328,557140,0
329,247760,0
330,318590,0
331,407790,0
332,363210,0
333,495590,0
334,664410,0
335,379570,0
336,171390,0
337,665340,0
338,626790,0
339,279610,0
340,396630,0
341,939270,0
342,369590,0
343,497340,0
344,406350,0
345,399890,0
346,2278550,0
347,740550,0
348,254590,0
349,413390,0
350,298050,0
351,26440,0
352,245420,0
353,1017340,0
354,445760,0
355,829210,0
356,501280,0
357,400590,0
358,351610,0
359,407910,0
360,695660,0
361,392080,0
362,455020,0
363,179610,0
364,386360,0
365,469330,0
366,378320,0
367,323250,0
368,216300,0
369,1961820,0
370,304480,0
371,469310,0
372,230890,0
373,395800,0
374,339840,0
375,240130,0
376,439350,0
377,220620,0
378,894690,0
379,32030,0
380,685620,0
381,3037340,0
382,117770,0
383,433660,0
384,597130,0
385,353470,0
386,513210,0
387,599160,0
388,1855160,0
389,291070,0
390,41090,0
391,663580,0
392,389790,0
393,242590,0
394,478140,0
395,584220,0
396,408040,0
397,260700,0
398,754230,0
399,685180,0
400,1784430,0
401,246300,0
402,221060,0
403,316140,0
404,939740,0
405,346750,0
406,358930,0
407,309990,0
408,238300,0
409,258950,0
410,541350,0
411,92670,0
412,323780,0
413,225120,0
414,220570,0
415,312750,0
416,358680,0
417,80530,0
418,147770,0
419,218630,0
420,579670,0
421,256200,0
422,655490,0
423,367240,0
424,828310,0
425,269800,0
426,615330,0
427,444980,0
428,346840,0
429,3542110,0
430,446510,0
431,439670,0
432,4804890,0
433,1724790,0
434,37560,0
