N,T1,T2
1,277065,0
2,133400,0
3,606720,0
4,197830,0
5,91440,0
6,1546980,0
7,172050,0
8,123010,0
9,252380,0
10,170970,0
11,522300,0
12,472800,0
13,280550,0
14,256130,0
15,142410,0
16,246280,0
17,80700,0
18,93800,0
19,273370,0
20,302620,0
21,257940,0
22,200620,0
23,1185370,0
24,339880,0
25,101130,0
26,235340,0
27,131650,0
28,308120,0
29,411060,0
30,80300,0
31,100670,0
32,677820,0
33,330330,0
34,367720,0
35,107170,0
36,97390,0
37,2197290,0
38,488840,0
39,109470,0
40,298570,0
41,61250,0
42,323540,0
43,234520,0
44,141950,0
45,602040,0
46,297880,0
47,139680,0
48,383040,0
49,189600,0
50,737390,0
51,158840,0
52,709370,0
53,196930,0
54,293040,0
55,203800,0
56,496970,0
57,304010,0
58,947320,0
59,137550,0
60,192090,0
61,815020,0
62,329140,0
63,384060,0
64,227570,0
65,340420,0
66,71190,0
67,133020,0
68,126730,0
69,859090,0
70,256190,0
71,169900,0
72,399540,0
73,331020,0
74,488650,0
75,146740,0
76,69730,0
77,200810,0
78,506210,0
79,793290,0
80,544840,0
81,2149260,0
82,442170,0
83,221690,0
84,325510,0
85,166950,0
86,230830,0
87,527700,0
88,373600,0
89,421780,0
90,122570,0
91,136490,0
92,291100,0
93,364570,0
94,64690,0
95,1550070,0
96,783390,0
97,345390,0
98,275900,0
99,219350,0
100,642360,0
101,275820,0
102,288860,0
103,1437110,0
104,2367510,0
105,1058400,0
106,2535960,0
107,340410,0
108,1603250,0
109,339900,0
110,355170,0
111,167300,0
112,2109960,0
113,477500,0
114,94540,0
115,353770,0
116,423040,0
117,540150,0
118,803100,0
119,368080,0
120,635630,0
121,998290,0
122,331260,0
123,1682340,0
124,1652970,0
125,478230,0
126,201150,0
127,345910,0
128,258300,0
129,48880,0
130,509800,0
131,377760,0
132,185540,0
133,512990,0
134,325210,0
135,1485710,0
136,680020,0
137,1198290,0
138,334940,0
139,531530,0
140,471230,0
141,1266160,0
142,114060,0
143,513500,0
144,1796700,0
145,2719350,0
146,176070,0
147,909630,0
148,299750,0
149,551640,0
150,1005990,0
151,252470,0
152,207690,0
153,575340,0
154,739720,0
155,638130,0
156,1040230,0
157,1334120,0
158,656600,0
159,763160,0
160,1303400,0
161,28978540,0
162,171160,0
163,368830,0
164,757710,0
165,2580470,0
166,4517750,0
167,244510,0
168,1179240,0
169,808670,0
170,452010,0
171,521850,0
172,933790,0
173,184150,0
174,1145920,0
175,2588650,0
176,2746910,0
177,257600,0
178,343500,0
179,481480,0
180,1001410,0
181,459890,0
182,549690,0
183,264450,0
184,416480,0
185,2331460,0
186,591580,0
187,1377920,0
188,528700,0
189,1173130,0
190,1027020,0
191,1156810,0
192,2424350,0
193,490510,0
194,170570,0
195,269260,0
196,29478910,0
197,18931530,0
198,7561520,0
199,402430,0
200,165340,0
201,682170,0
202,502360,0
203,346930,0
204,8017150,0
205,1079160,0
206,32900920,0
207,102140,0
208,380320,0
209,5394450,0
210,79523220,0
211,599160,0
212,2673350,0
213,364330,0
214,3809810,0
215,266920,0
216,719240,0
217,1031090,0
218,1860040,0
219,3571160,0
220,715370,0
221,664160,0
222,688790,0
223,547240,0
224,467530,0
225,569010,0
226,332240,0
227,428610,0
228,8317420,0
229,5199030,0
230,462850,0
231,191100,0
232,1611070,0
233,2557350,0
234,692810,0
235,346080,0
236,4028900,0
237,811140,0
238,693620,0
239,88557540,0
240,755040,0
241,487910,0
242,1235220,0
243,9129810,0
244,371480,0
245,702160,0
246,1230610,0
247,1478560,0
248,563740,0
249,3712810,0
250,494770,0
251,1026790,0
252,2972430,0
253,969120,0
254,441660,0
255,299450,0
256,1256730,0
257,171810,0
258,2145930,0
259,1362430,0
260,429120,0
261,668150,0
262,14256030,0
263,809850,0
264,1995740,0
265,3305060,0
266,544280,0
267,748490,0
268,925350,0
269,3235290,0
270,573890,0
271,3821120,0
272,3911140,0
273,1032230,0
274,990070,0
275,912470,0
276,132940,0
277,358540,0
278,467780,0
279,5073490,0
280,288120,0
281,681950,0
282,1256020,0
283,228230,0
284,1013620,0
285,1798540,0
286,5547230,0
287,958260,0
288,1208460,0
289,1346820,0
290,914980,0
291,12585660,0
292,375450,0
293,797130,0
294,2146760,0
295,957770,0
296,470860,0
297,2140440,0
298,431650,0
299,1086390,0
300,186670,0
301,841740,0
302,21804440,0
303,612780,0
304,63156140,0
305,346300,0
306,719570,0
307,585720,0
308,343520,0
309,2390740,0
310,1386790,0
311,430320,0
312,614160,0
313,1392110,0
314,889180,0
315,348300,0
316,1414810,0
317,2199840,0
318,1702600,0
319,1682720,0
320,431830,0
321,325220,0
322,371540,0
323,13688880,0
324,2960710,0
325,7179010,0
326,361390,0
327,2154120,0
328,1307040,0
329,856560,0
330,3866960,0
331,574390,0
332,3773230,0
333,656990,0
334,2761050,0
335,910730,0
336,5734440,0
337,1390430,0
338,991720,0
339,2399050,0
340,487510,0
341,237150,0
342,1236350,0
343,607480,0
344,754850,0
345,406170,0
346,700450,0
347,1121920,0
348,582250,0
349,1296830,0
350,5159170,0
351,2341350,0
352,1720620,0
353,1643610,0
354,1425250,0
355,1409210,0
356,1115180,0
357,853890,0
358,989960,0
359,829550,0
360,1358170,0
361,665200,0
362,780530,0
363,990450,0
364,862340,0
365,617320,0
366,1056930,0
367,3205160,0
368,528190,0
369,1559860,0
370,523660,0
371,1152920,0
372,10928480,0
373,222600,0
374,34021110,0
375,1186090,0
376,912180,0
377,436900,0
378,3335220,0
379,531110,0
380,7685140,0
381,1251920,0
382,6728410,0
383,4090780,0
384,116338830,0
385,1173250,0
386,2694320,0
387,4669350,0
388,1840760,0
389,474370,0
390,738020,0
391,16237140,0
392,190320,0
393,843600,0
394,480270,0
395,467270,0
396,585360,0
397,2552790,0
398,5528660,0
399,10786960,0
400,5279600,0
401,427510,0
402,1079550,0
403,1984100,0
404,14448820,0
405,738860,0
406,2729520,0
407,416240,0
408,404850,0
409,2113560,0
410,1093360,0
411,1444850,0
412,2085490,0
413,1281320,0
414,946700,0
415,2839240,0
416,725610,0
417,875090,0
418,519800,0
419,1063780,0
420,2448690,0
421,542140,0
422,2616810,0
423,12388640,0
424,910090,0
425,622800,0
426,7764560,0
427,492120,0
428,2215890,0
429,3260730,0
430,1513190,0
431,5051400,0
432,1101730,0
433,381380,0
434,1793090,0
435,2574170,0
436,2541380,0
437,833010,0
438,1311200,0
439,1599330,0
440,1431990,0
441,2309900,0
442,1278500,0
443,1811070,0
444,14387930,0
445,631950,0
446,4379010,0
447,4119010,0
448,581010,0
449,2525760,0
450,1962910,0
451,6373710,0
452,1699270,0
453,527000,0
454,1787260,0
455,203490,0
456,1758920,0
457,2725010,0
458,334520,0
459,4015110,0
460,3239560,0
461,957780,0
462,657650,0
463,2061490,0
464,1526780,0
465,2981720,0
466,1983310,0
467,962130,0
468,1592790,0
469,1431920,0
470,292440,0
471,1893340,0
472,1544300,0
473,572120,0
474,476040,0
475,1301500,0
476,788680,0
477,991310,0
478,2309460,0
479,1001930,0
480,1662420,0
481,616920,0
482,5608400,0
483,872070,0
484,6052080,0
485,1955570,0
486,2452600,0
487,3460630,0
488,2473260,0
489,2837560,0
490,1357350,0
491,1234640,0
492,4895160,0
493,1713390,0
494,1334090,0
495,6200520,0
496,1662370,0
497,1650380,0
498,50458430,0
499,1136900,0
500,22609670,0
501,1379060,0
502,8208890,0
503,974920,0
504,5530690,0
505,2053870,0
506,227530,0
507,2552320,0
508,1227090,0
509,1169040,0
510,775540,0
511,2674600,0
512,760720,0
513,15282790,0
514,2557160,0
515,5124040,0
516,1201990,0
517,6748400,0
518,2152670,0
519,1897880,0
520,2724890,0
521,3764340,0
522,671540,0
523,4942950,0
524,2399340,0
525,984870,0
526,26063460,0
527,1030480,0
528,1440180,0
529,2002930,0
530,628500,0
531,961310,0
532,1165200,0
533,2694250,0
534,6529050,0
535,3975580,0
536,710860,0
537,1055230,0
538,1516890,0
539,31953390,0
540,2469190,0
541,1960600,0
542,6106840,0
543,2664210,0
544,2408390,0
545,203000,0
546,103030,0
547,143300740,0
548,3459370,0
549,1931470,0
550,1282200,0
551,8121170,0
552,4617270,0
553,123030,0
554,300070,0
555,10375550,0
556,3499050,0
557,2225130,0
558,2049510,0
559,6128460,0
560,3728950,0
561,3050600,0
562,1011480,0
563,3915390,0
564,1399070,0
565,2294050,0
566,396360,0
567,15865110,0
568,5265930,0
569,91059160,0
570,620950,0
571,3649450,0
572,1009170,0
573,972390,0
574,1867930,0
575,1709830,0
576,9336310,0
577,1191750,0
578,1994550,0
579,2827630,0
580,2350100,0
581,812420,0
582,1652990,0
583,4497140,0
584,4679510,0
585,5322380,0
586,6657490,0
587,10968720,0
588,1062920,0
589,3479130,0
590,918170,0
591,6067050,0
592,3716750,0
593,4012000,0
594,1510150,0
595,970680,0
596,1803370,0
597,19728250,0
598,1162250,0
599,15631860,0
600,1232820,0
601,817200,0
602,3989760,0
603,4127100,0
604,375620,0
605,3726590,0
606,1552890,0
607,357080,0
608,3213190,0
609,635350,0
610,7138430,0
611,1164550,0
612,4396150,0
613,6277650,0
614,156448370,0
615,14484800,0
616,870590,0
617,1297990,0
618,2391420,0
619,4051230,0
620,635870,0
621,4742030,0
622,2556290,0
623,1387130,0
624,1309390,0
625,1912400,0
626,1787720,0
627,3952170,0
628,1708610,0
629,1530980,0
630,2955150,0
631,2312580,0
632,10807720,0
633,81981710,0
634,845760,0
635,2423160,0
636,1635160,0
637,1276940,0
638,2023320,0
639,2903520,0
640,1575720,0
641,4006020,0
642,1438080,0
643,846120,0
644,1436870,0
645,1671450,0
646,2195120,0
647,3156380,0
648,12458060,0
649,3144530,0
650,830990,0
651,2464420,0
652,992490,0
653,2781120,0
654,839070,0
655,2662970,0
656,12717950,0
657,1144470,0
658,1799610,0
659,4085730,0
660,457910,0
661,3823780,0
662,2228200,0
663,2213570,0
664,5473980,0
665,5215580,0
666,2170740,0
667,2314570,0
668,225820,0
669,1104180,0
670,4098450,0
671,2616530,0
672,902900,0
673,701230,0
674,1945780,0
675,1565080,0
676,4014760,0
677,2790660,0
678,11338880,0
679,18582890,0
680,2919120,0
681,1504240,0
682,14248430,0
683,4876870,0
684,10610660,0
685,754840,0
686,1506040,0
687,1602420,0
688,1866820,0
689,9463660,0
690,2647110,0
691,843720,0
692,747780,0
693,6768880,0
694,1994620,0
695,8450840,0
696,1935780,0
697,3007930,0
698,1557500,0
699,2153720,0
700,940420,0
701,15917980,0
702,5178640,0
703,5480050,0
704,2659040,0
705,1535880,0
706,193054040,0
707,1299010,0
708,2174030,0
709,1243880,0
710,16238590,0
711,5696320,0
712,1075900,0
713,10438000,0
714,5553760,0
715,930460,0
716,64337750,0
717,2287150,0
718,11342150,0
719,6420190,0
720,22593000,0
721,2869610,0
722,1647290,0
723,593420,0
724,4514790,0
725,3888220,0
726,4593610,0
727,3274670,0
728,3388910,0
729,2768390,0
730,741390,0
731,237260,0
732,4819230,0
733,4104880,0
734,2525810,0
735,6909520,0
736,1164270,0
737,1414120,0
738,3574910,0
739,5355620,0
740,1885730,0
741,4026580,0
742,4188940,0
743,5462240,0
744,1399150,0
745,2046010,0
746,1890760,0
747,1088470,0
748,2337010,0
749,334540,0
750,987640,0
751,824470,0
752,7532130,0
753,1002130,0
754,38475510,0
755,2484520,0
756,1906450,0
757,2017360,0
758,6345240,0
759,1045720,0
760,9354840,0
761,733480,0
762,3002700,0
763,589990,0
764,853320,0
765,4719600,0
766,1180610,0
767,1182540,0
768,728240,0
769,3067290,0
770,249400,0
771,6133950,0
772,14501960,0
773,3306540,0
774,2272560,0
775,5349700,0
776,23909850,0
777,5588910,0
778,2304110,0
779,2495460,0
780,1155000,0
781,12603800,0
782,3165960,0
783,46763910,0
784,3962780,0
785,2023670,0
786,785040,0
787,5709530,0
788,10544240,0
789,4554930,0
790,569560,0
791,13895170,0
792,2610610,0
793,890460,0
794,597550,0
795,6297570,0
796,3144210,0
797,12506670,0
798,2733960,0
799,2171340,0
800,4733160,0
801,1144720,0
802,24224460,0
803,31013720,0
804,9895830,0
805,3365760,0
806,1429440,0
807,6662990,0
808,809910,0
809,10132550,0
810,1359150,0
811,4897150,0
812,1530850,0
813,8658960,0
814,2776610,0
815,12071650,0
816,567880,0
817,5773190,0
818,998930,0
819,380990,0
820,8652060,0
821,4439550,0
822,5997360,0
823,362250,0
824,6779700,0
825,10102620,0
826,1287910,0
827,4665140,0
828,5866440,0
829,1238650,0
830,1232590,0
831,1241040,0
832,3684830,0
833,1444020,0
834,11088670,0
835,6700360,0
836,47419120,0
837,5806420,0
838,1475470,0
839,5803490,0
840,830060,0
841,3039920,0
842,4704860,0
843,2081760,0
844,5908470,0
845,2149180,0
846,855370,0
847,5045580,0
848,1041480,0
849,2104080,0
850,4184740,0
851,1935860,0
852,2188120,0
853,805910,0
854,6613110,0
855,496740,0
856,1936610,0
857,2173340,0
858,2590940,0
859,4057660,0
860,7827930,0
861,2910400,0
862,1998180,0
863,2817600,0
864,5759860,0
865,3784170,0
866,2622830,0
867,1079440,0
868,2375870,0
869,1790380,0
870,6592200,0
871,2484710,0
872,1583800,0
873,4669860,0
874,4415400,0
875,2613720,0
876,2637860,0
877,2904240,0
878,7870070,0
879,11508360,0
880,11203880,0
881,3249930,0
882,37660370,0
883,2325740,0
884,2026270,0
885,1853580,0
886,9447260,0
887,1308510,0
888,1044540,0
889,879670,0
890,10812360,0
891,3741760,0
892,426850,0
893,2479450,0
894,3334160,0
895,753480,0
896,20698120,0
897,3652170,0
898,1896920,0
899,46678510,0
900,1680270,0
901,3126720,0
902,6254220,0
903,2100400,0
904,1871650,0
905,4208060,0
906,1755650,0
907,744380,0
908,3377320,0
909,2443730,0
910,4870410,0
911,5164740,0
912,20111750,0
913,7060660,0
914,3366540,0
915,260130,0
916,1128850,0
917,10587250,0
918,11326370,0
919,1479340,0
920,7336550,0
921,9294680,0
922,1813930,0
923,6165690,0
924,3483420,0
925,11065610,0
926,1930120,0
927,15019100,0
928,784490,0
929,3282460,0
930,1333630,0
931,29876550,0
932,673960,0
933,8510840,0
934,1383600,0
935,4590020,0
936,3396620,0
937,3128890,0
938,1498700,0
939,935400,0
940,6180710,0
941,7401980,0
942,4336670,0
943,537110,0
944,5503470,0
945,10220980,0
946,14723210,0
947,1170230,0
948,1787160,0
949,1892650,0
950,6938840,0
951,28959330,0
952,6631850,0
953,2736130,0
954,6288430,0
955,1030710,0
956,4933410,0
957,1651350,0
958,5205770,0
959,1863540,0
960,1479050,0
961,6762740,0
962,712010,0
963,5438280,0
964,10729410,0
965,6001930,0
966,2204060,0
967,3121330,0
968,417040230,0
969,358990,0
970,9039900,0
971,1055890,0
972,3192510,0
973,354630,0
974,1672940,0
975,1383850,0
976,4354760,0
977,4251470,0
978,4019190,0
979,2125800,0
980,479490,0
981,7732400,0
982,6194510,0
983,2715730,0
984,3674340,0
985,6816050,0
986,52625280,0
987,137152770,0
988,8319640,0
989,5361110,0
990,3341790,0
991,3758880,0
992,2301660,0
993,957900,0
994,27268890,0
995,2995550,0
996,11653540,0
997,1014550,0
998,1137760,0
999,1088390,0
1000,3129280,0
